# vitest run 2026-09-13: files=142 tests=1535 passed=1535 failed=0
# cases file
   8 cloudflare/upload-proxy/src/token.test.mjs
   7 src/app/coach/compare/blinding.test.ts
   9 src/app/coach/corpus/corpusFence.test.ts
   5 src/components/life/useDragReorder.test.ts
  13 src/components/tokens/copy.test.ts
  10 src/components/tokens/planControls.test.ts
   2 src/components/tokens/tierKeyFence.test.ts
   2 src/components/willab/CoachInlineBlindExposureBoundary.test.tsx
   2 src/components/willab/ProcessingWait.test.ts
   6 src/components/willab/audioUploadValidation.test.ts
  32 src/components/willab/blindLabelingIsBlind.test.ts
   8 src/components/willab/confidentVoicePractice.test.ts
  21 src/components/willab/deckSurface.test.ts
   6 src/components/willab/defaultDeckWiring.test.ts
   6 src/components/willab/displayKind.test.ts
   8 src/components/willab/flowCopy.test.ts
   1 src/components/willab/guestOwnerProcessing.test.ts
   3 src/components/willab/idealTextCoreFirst.contract.test.ts
   6 src/components/willab/loadingStateContract.test.ts
   5 src/components/willab/lockAfterEdit.test.ts
   5 src/components/willab/loungeOffers.test.ts
   5 src/components/willab/loungePrompts.test.ts
   9 src/components/willab/loungeReports.test.ts
   7 src/components/willab/mlc2ConsentContract.test.ts
   4 src/components/willab/noStarsOnUserSurfaces.test.ts
   4 src/components/willab/noTopBarEditing.test.ts
  14 src/components/willab/presentation.test.ts
   6 src/components/willab/processingJourney.test.ts
   3 src/components/willab/processingResumeOverlay.test.ts
   3 src/components/willab/processingWaitingTips.test.ts
   4 src/components/willab/reRecordEntersTheMic.test.ts
   5 src/components/willab/readout.back.test.ts
   5 src/components/willab/readout.groupSnippets.test.ts
   5 src/components/willab/readout.instantChunk.test.ts
  14 src/components/willab/readout.sayItStronger.test.ts
  16 src/components/willab/readout.test.ts
  15 src/components/willab/recordingScreen.test.ts
   7 src/components/willab/restoredSetup.test.ts
   6 src/components/willab/sendStatus.test.ts
   8 src/components/willab/slideCorrection.test.ts
   7 src/components/willab/speakerSexAskGate.test.ts
   9 src/components/willab/starVerdictSeparation.test.ts
  12 src/components/willab/styleLaneHasAHandle.test.ts
   8 src/components/willab/takeReviewOrder.test.ts
   4 src/components/willab/topUpCardGate.test.ts
   5 src/components/willab/useWillabFlow.test.ts
   7 src/components/willab/waitingTips.test.ts
  33 src/components/willab/willabHelpers.test.ts
   4 src/components/willab/willabParked.test.ts
   8 src/hooks/usePublishLiveSubscription.test.ts
  12 src/hooks/usePwaInstall.test.ts
   1 src/lib/ceo/clickNavigation.test.ts
   3 src/lib/ceo/domain.test.ts
   6 src/lib/ceo/hostRouting.test.ts
   8 src/lib/ceo/overview.test.ts
   5 src/lib/ceo/workItems.test.ts
   6 src/lib/funnel/loungeLocalThread.test.ts
  15 src/lib/life/copy.test.ts
  20 src/lib/life/documentFold.test.ts
   4 src/lib/life/draftGroups.test.ts
   8 src/lib/life/duePresets.test.ts
   7 src/lib/life/goalOrder.test.ts
  17 src/lib/life/hashtags.test.ts
   8 src/lib/life/isolation.test.ts
  54 src/lib/life/mappers.test.ts
  24 src/lib/life/menu.test.ts
   6 src/lib/life/panelCache.test.ts
   6 src/lib/life/prefetch.test.ts
  14 src/lib/life/setupSteps.test.ts
  10 src/lib/life/timelineScale.test.ts
   5 src/lib/life/uploadKind.test.ts
   5 src/lib/productDiscovery.test.ts
  15 src/lib/pwa/serviceWorkerPolicy.test.ts
   7 src/lib/security/csp.test.ts
   8 src/lib/sse.test.ts
   6 src/lib/supabase/client.test.ts
